tokoh,weight,halaman,evidence
Hasan bin Ali,0.3,611,"...mah dinikahi Ali bin Abu Thalib pada waktu antara Perang Badr dan Uhud. Dari pernikahan Fathimah dan Ali ini lahir Hasan, Husain, Zainab, dan Ummu Kultsum Sebagaimana yan..."
Hujair bin Abu Ihab,0.2,377-379,"...e Makkah dan menjualnya disana Padahal pada waktu Perang Badr, keduanya telah menghabisi sekian banyak para bangsawan Quraisy. Khubaib ditahan di Makkah dan dimasukan ke dalam penjara setelah dibel"
Husain bin Ali,0.3,611,"...mah dinikahi Ali bin Abu Thalib pada waktu antara Perang Badr dan Uhud. Dari pernikahan Fathimah dan Ali ini lahir Hasan, Husain, Zainab, dan Ummu Kultsum Sebagaimana yang sudah..."
Ibnu Ummi,0.2,306-307,"...awwal 2 Hijriyah, selang tujuh hari sepulang dari Badr. Beliau mengangkat Siba bin Arfazhah sebagai wakil beliau di Madinah. Namun menurut pendapat lain, dia adalah Ibnu Ummi Lokasi Perang Badr 163"
Ikrimah bin Abu Jahal,0.5,324-325,"...n paling getol mengadakan persiapan perang adalah Ikrimah bin Abu Jahl, Shafwan bin Umayyah, Abu Sufyan bin Harb dan Abdullah bin Abu Rabi'ah Tindakan pertama yang mereka lakukan dalam kesempatan i"
Jubair bin Muth'im,0.4,340,"...zah, Wahsy bin Harb, ""Sebelumnya aku adalah budak Jubair bin Muth'im. Paman Jubair. Thu'aimah bin Adi terbunuh pada Perang Badr. Pada saat Quraisy pergi ke Uhud, Jubair berkata..."
Khunais bin Hudzafah,0.5,612,"Dia ditinggal mati suaminya, Khunais bin Hudzafah As-Sahmi, pada waktu antara Perang Badr dan Uhud, lalu dinikahi Rasulullah pada tahun 3 H"
Kurz bin Jabir,0.2,256-265,"...ataupun yang dipimpin Rasulullah sendiri sebelum Perang Badr. Dalam satu peperangan pun tidak terjadi perampasan harta dan juga tidak ada korban jiwa, kecuali dalam suatu insiden yang dilakukan ora"
Muhammad,0.5,165-168 | 231-232 | 256-265 | 289-293 | 306-307 | 310-312 | 312-314 | 324-325 | 327-328 | 340 | 368-373 | 385-386 | 390-404 | 515-517 | 612,"...ah bin Khalaf saat masih di Makkah, Aku mendengar Rasulullah bersabda, Sesungguhnya orang-orang Muslim akan menyerangmu."" Dia langsung tercengang dan kaget mendengarnya dan bersumpah tidak akan kel"
Najasyi,0.5,133-137,...in menyebutkan bahwa Amr bin Al-Ash diutus kepada Najasyi setelah Perang Badr.
Shafwan bin Umayyah,0.5,308-310 | 324-325 | 377-379,"...reka, yaitu Nabi Selang tak seberapa lama sesudah Perang Badr, Umair bin Wahb Al-Jumahi duduk-duduk di Hijir bersama Shafwan bin Umayyah. Umair adalah salah seorang pemimpin Quraisy yang..."
Siba bin Arfazhah,0.4,306-307,"...awwal 2 Hijriyah, selang tujuh hari sepulang dari Badr. Beliau mengangkat Siba bin Arfazhah sebagai wakil beliau di Madinah. Namun menurut pe..."
Thu'aimah bin Adi,0.5,340,"...ku adalah budak Jubair bin Muth'im. Paman Jubair. Thu'aimah bin Adi terbunuh pada Perang Badr. Pada saat Quraisy pergi ke Uhud, Jubair berkata..."
Ubadah bin Ash-Shamit,0.5,298-299,"...alu turun wahyu yang memecahkan masalah ini. Dari Ubadah bin Ash-Shamit, dia berkata, ""Kami pergi bersama Nabi bergabung dalam Perang Badr. Dua pasukan saling berhadapan dan Allah mengalah..."
Ukkasyah bin Mihshan,0.5,289-293,"...ngi daripada membiarkan mereka tetap hidup."" Pada Perang Badr itu pedang Ukkasyah bin Mihshan Al-Asadi patah Karena itu dia menemui Rasulullah..."
Umair bin Wahb,0.5,277-279 | 308-310,"...a, ""Tidak. Demi yang telah menyelamatkan aku dari Perang Badr."" Setelah pasukan Quraisy agak tenang, mereka mengutus Umair bin Wahb Al-Jumahi untuk menyelidiki dan menaksir seberapa..."
Umar bin Al-Khaththab,0.5,308-310 | 359-360 | 515-517 | 531-532,"...Setelah itu dia berangkat hingga tiba di Madinah. Umar bin Al-Khaththab yang sedang membicarakan kemuliaan yang dikaruniakan Allah di Perang Badr bersama beberapa orang Muslim, melihat kehadirann.."
Umayyah bin Khalaf,0.5,289-293,...embunuh Abul Bakhtari. 3. Abdurrahman bin Auf dan Umayyah bin Khalaf merupakan teman karib semasa Jahiliyah di Makkah. Pada Perang Badr itu Abdurrahman melewati Umayyah bin Khalaf yang...
Ummu Kultsum,0.3,611,"...Ar-Rabi', sebelum hijrah. Sedangkan Ruqayyah dan Ummu Kultsum dinikahi Utsman bin Affan tidak secara bersamaan. Sedangkan Fathimah dinikahi Ali bin Abu Thalib pada waktu antara Perang Badr dan Uhud"
Ummul Fadhl,0.3,295-297,"...ggota keluarga. Al-Abbas masuk Islam, begitu pula Ummul Fadhl dan aku. Namun Al-Abbas menyembunyikan keislamannya. Saat Perang Badr, Abu Lahab tidak ikut serta. Ketika sudah ada kab..."
Uqbah bin Al-Harits,0.5,377-379,".... Yang menangani eksekusi terhadap Khubaib adalah Uqbah bin Al-Harits, yang pada waktu Perang Badr, Khubaib telah membunuh ayahnya Uqbah. Di dalam A..."
Utsman bin Affan,0.3,611,...rah. Sedangkan Ruqayyah dan Ummu Kultsum dinikahi Utsman bin Affan tidak secara bersamaan. Sedangkan Fathimah dinikahi Ali bin Abu Thalib pada waktu antara Perang Badr dan Uhud. Dari pernikahan Fat
Wahb bin Umair,0.5,308-310,"...dan para sahabat selagi masih di Makkah. Anaknya, Wahb bin Umair menjadi tawanan Perang Badr. Saat duduk itulah Umair menyebut orang-orang yan..."
Wahsy bin Harb,0.3,340,"...an yang disampaikan sendiri oleh pembunuh Hamzah, Wahsy bin Harb, ""Sebelumnya aku adalah budak Jubair bin Muth'im. Paman Jubair. Thu'aimah bin Adi terbunuh pada Perang Badr. Pada saat Quraisy pergi"
Zaid bin Ad-Dastinah,0.5,377-379,"...Makkah saat itu tidak ada buah anggur. Sedangkan Zaid bin Ad-Datsinah dibeli Shafwan bin Umayyah, lalu dibunuhnya karena Zaid telah membunuh ayahnya Orang-orang Quraisy mengirim utusan untuk mendat"
Zaid bin Haritsah,0.5,377-379,"...nolak, akhirnya orang itu dibunuh. Mereka membawa Zaid dan Khubaib ke Makkah dan menjualnya disana Padahal pada waktu Perang Badr, keduanya telah menghabisi sekian banyak para ban..."
Zainab,0.5,231-232 | 611,"...luarga Abu Bakar, termasuk pula Aisyah. Sementara Zainab, putri beliau masih tinggal bersama suaminya, Abul Ash di Makkah. Zainab belum memungkinkan untuk hijrah, dan baru hijrah setelah Perang Bad"
